Plaats,Lengtegraad,Breedtegraad,Default Channel Grouping (Standaard kanaalgroepering),Bestelling (Voltooiingen doel 4)
Wijk bij Duurstede,5.3384,51.9756,Direct,1
Goes,3.8911,51.5046,Organic Search,1
Kamperland,3.7023,51.5706,Direct,1
Kapelle,3.9596,51.4848,Referral,1
Terneuzen,3.8324,51.3323,Referral,1
Alphen aan den Rijn,4.6689,52.1277,Paid Search,1
Brielle,4.1637,51.9026,Direct,1
Delft,4.3571,52.0116,Direct,1
Heinkenszand,3.8145,51.4732,Direct,1
Leiderdorp,4.5282,52.1510,Direct,1
Papendrecht,4.6942,51.8425,Organic Search,1
Papendrecht,4.6942,51.8425,Referral,1
Rotterdam,4.4777,51.9244,Organic Search,1
The Hague,4.3007,52.0705,Organic Search,1
Alphen,4.9533,51.4824,Direct,1
Anna Paulowna,4.8238,52.8616,Direct,1
Bergen op Zoom,4.2872,51.4946,Direct,1
Berkel en Rodenrijs,4.4733,51.9914,Referral,1
Bocholtz,6.0089,50.8180,Direct,1
Dirksland,4.0921,51.7506,Direct,1
Dreumel,5.4293,51.8505,Organic Search,1
Geertruidenberg,4.8500,51.7024,Direct,1
Gendt,5.9732,51.8746,Direct,1
Gieten,6.7634,53.0053,Organic Search,1
Heeten,6.2816,52.3326,Direct,1
Heeze,5.5758,51.3810,Direct,1
Heino,6.2329,52.4339,Direct,1
Sappemeer,6.7941,53.1648,Direct,1
Hoogvliet Rotterdam,4.3580,51.8616,Paid Search,1
Meerlo,6.0855,51.5136,Direct,1
Oldebroek,5.8983,52.4474,Direct,1
Oosterwolde,6.2944,52.9896,Direct,1
Oosterwolde,6.2944,52.9896,Organic Search,1
Oud Gastel,4.4629,51.5839,Direct,1
Ouderkerk aan de Amstel,4.9153,52.2947,Direct,1
Renesse,3.7714,51.7313,Direct,1
Stiens,5.7523,53.2644,Organic Search,1
Tholen,4.2162,51.5333,Direct,1
Volkel,5.6546,51.6429,Direct,1
Warmenhuizen,4.7385,52.7227,Direct,1
Warnsveld,6.2238,52.1400,Direct,1
Wateringen,4.2741,52.0247,Direct,1
Wemeldinge,3.9965,51.5168,Direct,1
Winsum,6.5252,53.3296,Direct,1
Winsum,6.5252,53.3296,Referral,1
Wognum,5.0228,52.6818,Direct,1
